station_id,aq_station_name,aq_lat,aq_lon,weather_station_id,weather_station_name,weather_lat,weather_lon,distance_km,temp_coverage
DL031,RK_Puram,28.5672,77.1762,421820-99999,SAFDARJUNG,28.585,77.206,3.5192808771997783,0.3584056443110859
DL021,NSIT_Dwarka,28.6082,77.0307,421810-99999,INDIRA GANDHI INTL,28.567,77.103,8.41553023312119,0.4958640823939664
DL002,Anand_Vihar,28.6508,77.3152,421820-99999,SAFDARJUNG,28.585,77.206,12.928610283536056,0.3584056443110859
DL028,Punjabi_Bagh,28.673,77.131,421810-99999,INDIRA GANDHI INTL,28.567,77.103,12.09937702994774,0.4958640823939664
DL019,Mandir_Marg,28.638,77.2,421820-99999,SAFDARJUNG,28.585,77.206,5.922363999351947,0.3584056443110859
DL013,IHBAS_Dilshad_Garden,28.6781,77.3047,421820-99999,SAFDARJUNG,28.585,77.206,14.140793756847243,0.3584056443110859
DL034,Sirifort,28.55,77.2213,421820-99999,SAFDARJUNG,28.585,77.206,4.168787815267411,0.3584056443110859
DL007,CRRI_Mathura_Road,28.5505,77.259,421820-99999,SAFDARJUNG,28.585,77.206,6.4425035069228445,0.3584056443110859
DL033,Shadipur,28.6518,77.1451,421820-99999,SAFDARJUNG,28.585,77.206,9.513627238187638,0.3584056443110859
DL012,IGI_Airport_T3,28.5562,77.1,421810-99999,INDIRA GANDHI INTL,28.567,77.103,1.2361293231993868,0.4958640823939664
DL008,DTU,28.7501,77.1119,421810-99999,INDIRA GANDHI INTL,28.567,77.103,20.37830233891672,0.4958640823939664
DL017,Lodhi_Road,28.59,77.227,421820-99999,SAFDARJUNG,28.585,77.206,2.124456174373812,0.3584056443110859
