horizon,model,total_params,trainable_params,infer_time_batch_ms,infer_time_single_ms,gpu_peak_MiB,batch_size
1,Full Model,374522,374522,5.73,4.19,177.7,64
1,w/o Gated TCN,374522,374522,2.94,2.04,165.7,64
1,w/o GCN,374522,374522,4.82,3.97,164.7,64
1,w/o GAT,374522,374522,3.29,2.85,125.1,64
1,w/o ASTAM,374522,374522,5.44,3.89,179.8,64
6,Full Model,374887,374887,5.7,4.2,180.8,64
6,w/o Gated TCN,374887,374887,2.97,2.16,167.8,64
6,w/o GCN,374887,374887,4.82,3.76,167.2,64
6,w/o GAT,374887,374887,3.28,2.85,127.9,64
6,w/o ASTAM,374887,374887,5.45,3.99,182.9,64
12,Full Model,375325,375325,5.72,4.21,182.9,64
12,w/o Gated TCN,375325,375325,2.96,2.06,170.3,64
12,w/o GCN,375325,375325,4.8,3.94,170.0,64
12,w/o GAT,375325,375325,3.29,2.86,123.7,64
12,w/o ASTAM,375325,375325,5.42,4.02,178.7,64
24,Full Model,376201,376201,5.72,4.32,178.7,64
24,w/o Gated TCN,376201,376201,3.0,2.17,166.1,64
24,w/o GCN,376201,376201,4.78,3.83,165.8,64
24,w/o GAT,376201,376201,3.36,2.99,126.8,64
24,w/o ASTAM,376201,376201,5.42,3.76,180.8,64
