horizon,model,noise_level,MAE,RMSE,IA,R2
1,Model_D,0.0,8.931345,16.572147,0.98972595,0.9580800533294678
1,Model_D,0.05,24.176212,33.367466,0.9585672,0.8394439220428467
1,Model_D,0.1,41.176853,55.306225,0.889815,0.6154160499572754
1,Model_D,0.15,55.747566,74.209435,0.8159802,0.4325937032699585
1,Model_D,0.2,68.41151,90.80557,0.74192405,0.2823106646537781
1,Model_N,0.0,9.059235,16.512548,0.99007356,0.9605889320373535
1,Model_N,0.05,24.319393,32.959885,0.9602796,0.8484615087509155
1,Model_N,0.1,40.413128,53.462982,0.89656013,0.6355071067810059
1,Model_N,0.15,51.905285,68.7135,0.8287893,0.4339660406112671
1,Model_N,0.2,58.17965,78.25377,0.76473224,0.22511005401611328
1,Model_S,0.0,9.060674,16.752087,0.9895227,0.957360565662384
1,Model_S,0.05,23.268642,32.42019,0.9601272,0.8419801592826843
1,Model_S,0.1,39.188934,53.326565,0.8929275,0.6087357997894287
1,Model_S,0.15,52.38429,70.51149,0.8178192,0.3920002579689026
1,Model_S,0.2,63.162106,84.54517,0.7488193,0.23356658220291138
1,Model_POI,0.0,9.379612,16.805792,0.9897236,0.9592565298080444
1,Model_POI,0.05,24.79288,34.058777,0.9571672,0.8356484174728394
1,Model_POI,0.1,40.995953,54.961838,0.88986456,0.611747145652771
1,Model_POI,0.15,54.199196,72.9343,0.81232756,0.3993086814880371
1,Model_POI,0.2,64.18687,86.7532,0.7444576,0.25099068880081177
6,Model_D,0.0,20.922863,36.899246,0.9418877,0.742546796798706
6,Model_D,0.05,28.835354,44.84354,0.9072528,0.5622859001159668
6,Model_D,0.1,39.67754,58.44861,0.82703334,0.12473297119140625
6,Model_D,0.15,49.31053,71.0493,0.73314846,-0.35639095306396484
6,Model_D,0.2,57.201424,81.24823,0.65253425,-0.6966831684112549
6,Model_N,0.0,20.801334,35.838444,0.9477375,0.7798823118209839
6,Model_N,0.05,24.947079,39.984703,0.93046296,0.6910492181777954
6,Model_N,0.1,33.264698,51.485435,0.8640898,0.27491873502731323
6,Model_N,0.15,41.718105,65.197174,0.73396355,-1.0333454608917236
6,Model_N,0.2,48.08836,75.1146,0.60654116,-3.1127519607543945
6,Model_S,0.0,21.791569,37.838974,0.9410214,0.7504628896713257
6,Model_S,0.05,29.603592,45.643185,0.90293735,0.5461080074310303
6,Model_S,0.1,40.61054,59.416557,0.80217636,-0.08165323734283447
6,Model_S,0.15,49.129528,70.88674,0.68543476,-0.8185529708862305
6,Model_S,0.2,55.95357,79.95013,0.5805504,-1.3493149280548096
6,Model_POI,0.0,21.550447,37.530785,0.94275343,0.7615399360656738
6,Model_POI,0.05,27.025152,43.61156,0.9174577,0.6397515535354614
6,Model_POI,0.1,36.003357,55.4732,0.84692276,0.24187612533569336
6,Model_POI,0.15,44.316742,67.91014,0.7359164,-0.5810519456863403
6,Model_POI,0.2,50.454266,77.218414,0.6393063,-1.46366286277771
12,Model_D,0.0,30.879131,50.723854,0.88840324,0.5295168161392212
12,Model_D,0.05,34.741497,54.29952,0.8651546,0.40626412630081177
12,Model_D,0.1,43.266117,64.00037,0.7928417,-0.003775477409362793
12,Model_D,0.15,52.047707,75.48468,0.69276536,-0.5912715196609497
12,Model_D,0.2,58.960472,84.63057,0.6046608,-1.0688776969909668
12,Model_N,0.0,28.654688,47.746876,0.8992914,0.5618640780448914
12,Model_N,0.05,31.292274,50.67152,0.8762609,0.4036250114440918
12,Model_N,0.1,39.886673,61.75023,0.78424793,-0.413588285446167
